source,year,isolate_id,species_id,MDR,antibiotic,abx_class,zone_diameter,phenotype
Retail sushi,2015.0,SU2,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU2,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,32,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,44,S
Retail sushi,2015.0,SU2,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,37,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,39,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Oxolinic acid OA,Quinolones,32,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Doxycycline DO30,Tetracylines ,24,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Tetracycline TE30,Tetracylines ,28,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Imipenem IPM10,Carbapenemems,20,I
Retail sushi,2015.0,SU2,A. salmonicida,0,Meropenem MEM10,Carbapenemems,37,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,17,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,20,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,34,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,24,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU4-2,A. caviae,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Cefotaxime CTX30,Cephalosporins ,26,S
Retail sushi,2015.0,SU4-2,A. caviae,0,ceftriaxone CRO30,Cephalosporins ,30,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Ciprofloxacin CIP1,Quinolones,31,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Doxycycline DO30,Tetracylines ,21,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Imipenem IPM10,Carbapenemems,27,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Meropenem MEM10,Carbapenemems,36,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Tobramycin TOB30,Aminoglycosides ,18,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Erythromycin  EM15,Macrolides,14,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Florfenicol  FEC30,Amphenicols,29,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,14,I
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Cefotaxime CTX30,Cephalosporins ,41,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,ceftriaxone CRO30,Cephalosporins ,36,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Doxycycline DO30,Tetracylines ,28,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Imipenem IPM10,Carbapenemems,22,I
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Meropenem MEM10,Carbapenemems,29,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Tobramycin TOB30,Aminoglycosides ,20,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Erythromycin  EM15,Macrolides,19,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,29,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU12,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,43,S
Retail sushi,2015.0,SU12,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,39,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,39,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Oxolinic acid OA,Quinolones,35,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Doxycycline DO30,Tetracylines ,25,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Tetracycline TE30,Tetracylines ,31,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Imipenem IPM10,Carbapenemems,28,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Meropenem MEM10,Carbapenemems,31,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,22,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,20,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Erythromycin  EM15,Macrolides,16,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,31,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Mecillinam MEL10,Beta-lactams,29,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Cefotaxime CTX30,Cephalosporins ,44,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,ceftriaxone CRO30,Cephalosporins ,37,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Ciprofloxacin CIP1,Quinolones,39,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Doxycycline DO30,Tetracylines ,27,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Imipenem IPM10,Carbapenemems,28,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Meropenem MEM10,Carbapenemems,30,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Gentamycin  GM10,Aminoglycosides ,22,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Erythromycin  EM15,Macrolides,21,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU13-1,A. bestiarum,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU14-3,A. bestarium,0,Mecillinam MEL10,Beta-lactams,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Cefotaxime CTX30,Cephalosporins ,38,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,ceftriaxone CRO30,Cephalosporins ,38,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Ciprofloxacin CIP1,Quinolones,37,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Doxycycline DO30,Tetracylines ,25,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Tetracycline TE30,Tetracylines ,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Imipenem IPM10,Carbapenemems,24,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Meropenem MEM10,Carbapenemems,29,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Gentamycin  GM10,Aminoglycosides ,20,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU14-3,A. bestarium,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,31,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,45,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,45,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Oxolinic acid OA,Quinolones,35,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Doxycycline DO30,Tetracylines ,25,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Imipenem IPM10,Carbapenemems,22,I
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Meropenem MEM10,Carbapenemems,35,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,23,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Erythromycin  EM15,Macrolides,18,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU18-1,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,29,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,38,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,32,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,38,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,24,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,26,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,31,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,19,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,16,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,34,S
Retail sushi,2015.0,SU20-3,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,27,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,39,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,44,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Doxycycline DO30,Tetracylines ,26,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Imipenem IPM10,Carbapenemems,33,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Meropenem MEM10,Carbapenemems,38,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,19,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,19,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Erythromycin  EM15,Macrolides,18,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU23-2,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU38-1,A. media ?,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Cefotaxime CTX30,Cephalosporins ,30,S
Retail sushi,2015.0,SU38-1,A. media ?,0,ceftriaxone CRO30,Cephalosporins ,29,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Ciprofloxacin CIP1,Quinolones,41,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Oxolinic acid OA,Quinolones,35,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Doxycycline DO30,Tetracylines ,29,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Imipenem IPM10,Carbapenemems,33,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Meropenem MEM10,Carbapenemems,37,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Erythromycin  EM15,Macrolides,15,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Florfenicol  FEC30,Amphenicols,31,S
Retail sushi,2015.0,SU38-1,A. media ?,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,26,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,31,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,39,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,40,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,38,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,27,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,31,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,32,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,39,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,20,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,21,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU44-3,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,34,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,39,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,37,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Doxycycline DO30,Tetracylines ,26,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Tetracycline TE30,Tetracylines ,28,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Imipenem IPM10,Carbapenemems,20,I
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Meropenem MEM10,Carbapenemems,25,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,23,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Erythromycin  EM15,Macrolides,16,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,34,S
Retail sushi,2015.0,SU47-3,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,27,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,33,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,32,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,35,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Oxolinic acid OA,Quinolones,32,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Doxycycline DO30,Tetracylines ,23,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Tetracycline TE30,Tetracylines ,29,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Imipenem IPM10,Carbapenemems,33,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Meropenem MEM10,Carbapenemems,34,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,19,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,19,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,33,S
Retail sushi,2015.0,SU50-2,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,26,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,34,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,48,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,44,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,43,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Oxolinic acid OA,Quinolones,37,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Doxycycline DO30,Tetracylines ,21,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Tetracycline TE30,Tetracylines ,18,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Imipenem IPM10,Carbapenemems,32,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Meropenem MEM10,Carbapenemems,39,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,22,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Erythromycin  EM15,Macrolides,18,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,37,S
Retail sushi,2015.0,SU53-4,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,31,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,38,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,36,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,41,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Oxolinic acid OA,Quinolones,33,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Doxycycline DO30,Tetracylines ,26,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Tetracycline TE30,Tetracylines ,29,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Imipenem IPM10,Carbapenemems,22,I
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Meropenem MEM10,Carbapenemems,31,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,22,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,22,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Erythromycin  EM15,Macrolides,19,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,36,S
Retail sushi,2015.0,SU54-1,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,30,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,31,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,40,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,36,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,38,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Oxolinic acid OA,Quinolones,32,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Doxycycline DO30,Tetracylines ,24,S
Retail sushi,2015.0,SU55-5,A. salmonicida,0,Tetracycline TE30,Tetracylines ,28,S
